Edad,n,n_black
0-7,10,1
8-15,31,13
16-23,1168,495
24-31,2089,652
32-39,1896,469
40-47,1277,245
48-55,914,140
56-63,516,58
64-71,192,24
72-79,68,8
>80,29,4
