Edad,n,n_black
0-4,3,1
5-9,7,0
10-14,11,4
15-19,418,183
20-24,1014,421
25-29,1314,388
30-34,1318,370
35-39,1109,263
40-44,841,163
45-49,703,133
50-54,556,79
55-59,411,35
60-64,227,36
65-69,126,19
70-74,70,9
75-79,33,1
>80,29,4
