Edad,n,n_black
0-5,6,1
6-11,5,0
12-17,156,67
18-23,1042,441
24-29,1558,488
30-35,1569,421
36-41,1225,283
42-47,910,174
48-53,731,120
54-59,503,45
60-65,255,39
66-71,133,18
72-77,61,8
78-83,22,0
>84,13,4
